difficulty,language,status_code,n_submissions,pct
A,C,AC,59518,50.52
A,C,CE,23061,19.57
A,C,Other,30,0.03
A,C,RE,4239,3.6
A,C,TLE,470,0.4
A,C,WA,30504,25.89
A,C#,AC,25276,74.26
A,C#,CE,2824,8.3
A,C#,Other,3,0.01
A,C#,RE,1872,5.5
A,C#,TLE,38,0.11
A,C#,WA,4022,11.82
A,C++,AC,803111,74.37
A,C++,CE,84531,7.83
A,C++,Other,114,0.01
A,C++,RE,10512,0.97
A,C++,TLE,1763,0.16
A,C++,WA,179914,16.66
A,Go,AC,13264,79.84
A,Go,CE,826,4.97
A,Go,Other,12,0.07
A,Go,RE,273,1.64
A,Go,TLE,58,0.35
A,Go,WA,2180,13.12
A,Java,AC,69725,66.71
A,Java,CE,15002,14.35
A,Java,Other,9,0.01
A,Java,RE,6125,5.86
A,Java,TLE,104,0.1
A,Java,WA,13551,12.97
A,Other,AC,61847,67.98
A,Other,CE,3753,4.13
A,Other,Other,1,0.0
A,Other,RE,9783,10.75
A,Other,TLE,198,0.22
A,Other,WA,15398,16.92
A,Python,AC,450659,75.36
A,Python,Other,22,0.0
A,Python,RE,71881,12.02
A,Python,TLE,319,0.05
A,Python,WA,75164,12.57
A,Ruby,AC,31671,74.99
A,Ruby,Other,3,0.01
A,Ruby,RE,3956,9.37
A,Ruby,TLE,31,0.07
A,Ruby,WA,6572,15.56
A,Rust,AC,14359,84.1
A,Rust,CE,1039,6.09
A,Rust,RE,436,2.55
A,Rust,TLE,14,0.08
A,Rust,WA,1226,7.18
B,C,AC,43008,43.72
B,C,CE,11705,11.9
B,C,Other,31,0.03
B,C,RE,5899,6.0
B,C,TLE,1405,1.43
B,C,WA,36327,36.93
B,C#,AC,23069,67.91
B,C#,CE,1380,4.06
B,C#,Other,2,0.01
B,C#,RE,1378,4.06
B,C#,TLE,395,1.16
B,C#,WA,7746,22.8
B,C++,AC,742709,64.41
B,C++,CE,62657,5.43
B,C++,Other,89,0.01
B,C++,RE,26489,2.3
B,C++,TLE,10961,0.95
B,C++,WA,310263,26.91
B,Go,AC,13200,69.04
B,Go,CE,544,2.85
B,Go,Other,7,0.04
B,Go,RE,413,2.16
B,Go,TLE,313,1.64
B,Go,WA,4641,24.28
B,Java,AC,64237,62.42
B,Java,CE,6662,6.47
B,Java,Other,117,0.11
B,Java,RE,5139,4.99
B,Java,TLE,1228,1.19
B,Java,WA,25528,24.81
B,Other,AC,49984,63.73
B,Other,CE,2580,3.29
B,Other,Other,6,0.01
B,Other,RE,5431,6.92
B,Other,TLE,1394,1.78
B,Other,WA,19034,24.27
B,Python,AC,422550,67.4
B,Python,Other,25,0.0
B,Python,RE,51233,8.17
B,Python,TLE,14691,2.34
B,Python,WA,138444,22.08
B,Ruby,AC,29545,67.84
B,Ruby,Other,4,0.01
B,Ruby,RE,3690,8.47
B,Ruby,TLE,919,2.11
B,Ruby,WA,9391,21.56
B,Rust,AC,14236,76.7
B,Rust,CE,995,5.36
B,Rust,RE,326,1.76
B,Rust,TLE,191,1.03
B,Rust,WA,2812,15.15
C,C,AC,20843,31.38
C,C,CE,5959,8.97
C,C,Other,41,0.06
C,C,RE,5166,7.78
C,C,TLE,5582,8.4
C,C,WA,28831,43.41
C,C#,AC,19835,49.52
C,C#,CE,1318,3.29
C,C#,Other,19,0.05
C,C#,RE,2741,6.84
C,C#,TLE,3659,9.13
C,C#,WA,12483,31.16
C,C++,AC,623934,52.3
C,C++,CE,45116,3.78
C,C++,Other,454,0.04
C,C++,RE,46507,3.9
C,C++,TLE,48108,4.03
C,C++,WA,428831,35.95
C,Go,AC,11228,52.63
C,Go,CE,679,3.18
C,Go,Other,8,0.04
C,Go,RE,1074,5.03
C,Go,TLE,1328,6.22
C,Go,WA,7018,32.89
C,Java,AC,47861,46.44
C,Java,CE,4677,4.54
C,Java,Other,321,0.31
C,Java,RE,7027,6.82
C,Java,TLE,7384,7.16
C,Java,WA,35788,34.73
C,Other,AC,35477,49.19
C,Other,CE,2544,3.53
C,Other,Other,50,0.07
C,Other,RE,5592,7.75
C,Other,TLE,6079,8.43
C,Other,WA,22387,31.04
C,Python,AC,334155,49.22
C,Python,Other,120,0.02
C,Python,RE,69093,10.18
C,Python,TLE,66766,9.84
C,Python,WA,208701,30.74
C,Ruby,AC,21199,51.54
C,Ruby,Other,9,0.02
C,Ruby,RE,3204,7.79
C,Ruby,TLE,3838,9.33
C,Ruby,WA,12878,31.31
C,Rust,AC,14120,63.34
C,Rust,CE,1101,4.94
C,Rust,Other,5,0.02
C,Rust,RE,650,2.92
C,Rust,TLE,816,3.66
C,Rust,WA,5602,25.13
D,C,AC,7508,27.24
D,C,CE,3134,11.37
D,C,Other,38,0.14
D,C,RE,2941,10.67
D,C,TLE,3593,13.04
D,C,WA,10347,37.54
D,C#,AC,11427,40.56
D,C#,CE,816,2.9
D,C#,Other,12,0.04
D,C#,RE,2563,9.1
D,C#,TLE,4216,14.97
D,C#,WA,9136,32.43
D,C++,AC,413656,46.29
D,C++,CE,28362,3.17
D,C++,Other,619,0.07
D,C++,RE,57627,6.45
D,C++,TLE,73004,8.17
D,C++,WA,320290,35.84
D,Go,AC,5906,43.23
D,Go,CE,316,2.31
D,Go,Other,12,0.09
D,Go,RE,1090,7.98
D,Go,TLE,1988,14.55
D,Go,WA,4351,31.85
D,Java,AC,23954,37.97
D,Java,CE,2261,3.58
D,Java,Other,189,0.3
D,Java,RE,5817,9.22
D,Java,TLE,9036,14.32
D,Java,WA,21833,34.61
D,Other,AC,18793,40.49
D,Other,CE,1826,3.93
D,Other,Other,66,0.14
D,Other,RE,4395,9.47
D,Other,TLE,7916,17.05
D,Other,WA,13422,28.92
D,Python,AC,164304,36.54
D,Python,Other,169,0.04
D,Python,RE,55780,12.41
D,Python,TLE,104158,23.17
D,Python,WA,125197,27.85
D,Ruby,AC,9619,37.3
D,Ruby,Other,7,0.03
D,Ruby,RE,2792,10.83
D,Ruby,TLE,6075,23.56
D,Ruby,WA,7295,28.29
D,Rust,AC,10442,53.06
D,Rust,CE,1012,5.14
D,Rust,Other,32,0.16
D,Rust,RE,1156,5.87
D,Rust,TLE,1757,8.93
D,Rust,WA,5281,26.83
E,C,AC,1410,25.74
E,C,CE,892,16.28
E,C,Other,12,0.22
E,C,RE,542,9.89
E,C,TLE,648,11.83
E,C,WA,1974,36.04
E,C#,AC,3137,36.68
E,C#,CE,246,2.88
E,C#,RE,823,9.62
E,C#,TLE,1365,15.96
E,C#,WA,2982,34.86
E,C++,AC,142503,40.58
E,C++,CE,9688,2.76
E,C++,Other,191,0.05
E,C++,RE,25641,7.3
E,C++,TLE,29595,8.43
E,C++,WA,143514,40.87
E,Go,AC,1488,39.95
E,Go,CE,74,1.99
E,Go,Other,1,0.03
E,Go,RE,290,7.79
E,Go,TLE,570,15.3
E,Go,WA,1302,34.95
E,Java,AC,6329,34.1
E,Java,CE,642,3.46
E,Java,Other,1,0.01
E,Java,RE,1891,10.19
E,Java,TLE,2617,14.1
E,Java,WA,7080,38.15
E,Other,AC,5025,38.18
E,Other,CE,443,3.37
E,Other,Other,4,0.03
E,Other,RE,1215,9.23
E,Other,TLE,2190,16.64
E,Other,WA,4284,32.55
E,Python,AC,40284,30.86
E,Python,Other,31,0.02
E,Python,RE,18018,13.8
E,Python,TLE,31810,24.37
E,Python,WA,40380,30.94
E,Ruby,AC,2012,30.8
E,Ruby,RE,778,11.91
E,Ruby,TLE,1718,26.3
E,Ruby,WA,2024,30.99
E,Rust,AC,3913,45.22
E,Rust,CE,349,4.03
E,Rust,Other,5,0.06
E,Rust,RE,659,7.61
E,Rust,TLE,772,8.92
E,Rust,WA,2956,34.16
F,C,AC,540,26.14
F,C,CE,451,21.83
F,C,Other,1,0.05
F,C,RE,177,8.57
F,C,TLE,128,6.2
F,C,WA,769,37.22
F,C#,AC,1470,36.32
F,C#,CE,98,2.42
F,C#,RE,279,6.89
F,C#,TLE,510,12.6
F,C#,WA,1690,41.76
F,C++,AC,66070,37.09
F,C++,CE,4809,2.7
F,C++,Other,109,0.06
F,C++,RE,13912,7.81
F,C++,TLE,14323,8.04
F,C++,WA,78916,44.3
F,Go,AC,593,40.42
F,Go,CE,28,1.91
F,Go,RE,90,6.13
F,Go,TLE,222,15.13
F,Go,WA,534,36.4
F,Java,AC,2347,30.87
F,Java,CE,259,3.41
F,Java,Other,2,0.03
F,Java,RE,646,8.5
F,Java,TLE,1121,14.75
F,Java,WA,3227,42.45
F,Other,AC,2311,35.89
F,Other,CE,216,3.35
F,Other,Other,4,0.06
F,Other,RE,543,8.43
F,Other,TLE,928,14.41
F,Other,WA,2437,37.85
F,Python,AC,11662,27.1
F,Python,Other,19,0.04
F,Python,RE,5585,12.98
F,Python,TLE,10153,23.6
F,Python,WA,15610,36.28
F,Ruby,AC,607,28.82
F,Ruby,Other,1,0.05
F,Ruby,RE,232,11.02
F,Ruby,TLE,471,22.36
F,Ruby,WA,795,37.75
F,Rust,AC,2086,42.2
F,Rust,CE,234,4.73
F,Rust,Other,4,0.08
F,Rust,RE,332,6.72
F,Rust,TLE,450,9.1
F,Rust,WA,1837,37.16
