difficulty,proficiency_group,n_pairs,avg_attempts_to_ac,resolution_rate,abandon_rate,first_try_rate
A,G1,31619,1.94,91.62,8.38,57.08
A,G2,86241,1.64,94.72,5.28,66.7
A,G3,190810,1.45,97.1,2.9,73.99
A,G4,344111,1.29,98.56,1.44,80.82
A,G5,312457,1.23,99.22,0.78,84.11
A,G6,403508,1.17,99.52,0.48,87.43
B,G1,3065,,0.0,100.0,0.0
B,G2,49505,1.95,88.51,11.49,55.89
B,G3,161231,1.74,93.01,6.99,63.88
B,G4,336987,1.55,97.24,2.76,72.38
B,G5,319866,1.45,98.79,1.21,76.37
B,G6,407494,1.31,99.55,0.45,82.02
C,G1,857,,0.0,100.0,0.0
C,G2,7204,,0.0,100.0,0.0
C,G3,80613,2.35,78.01,21.99,40.94
C,G4,242934,2.06,89.38,10.62,52.76
C,G5,287534,1.91,95.27,4.73,60.35
C,G6,405923,1.63,98.49,1.51,70.84
D,G1,185,,0.0,100.0,0.0
D,G2,1751,,0.0,100.0,0.0
D,G3,11582,,0.0,100.0,0.0
D,G4,98705,2.53,71.98,28.02,35.0
D,G5,155948,2.35,84.67,15.33,44.61
D,G6,344349,1.98,95.8,4.2,59.98
E,G1,72,,0.0,100.0,0.0
E,G2,419,,0.0,100.0,0.0
E,G3,1847,,0.0,100.0,0.0
E,G4,6242,,0.0,100.0,0.0
E,G5,39234,2.65,72.48,27.52,34.64
E,G6,145164,2.34,91.43,8.57,50.59
F,G1,40,,0.0,100.0,0.0
F,G2,163,,0.0,100.0,0.0
F,G3,444,,0.0,100.0,0.0
F,G4,1378,,0.0,100.0,0.0
F,G5,3693,,0.0,100.0,0.0
F,G6,76115,2.59,86.6,13.4,42.09
